"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.181983840E-1,4.932205975E-1,6.897905827E0,7.525205612E0,1.022022949E1
5.202003840E-1,4.573064744E-1,6.885934353E0,7.592245579E0,1.025999094E1
5.222023840E-1,4.237866402E-1,6.885934353E0,7.613793850E0,1.027450942E1
5.242043840E-1,3.711125851E-1,6.907482624E0,7.649707794E0,1.031353819E1
5.262063840E-1,2.944957912E-1,6.893116951E0,7.671256542E0,1.031745928E1
5.282083840E-1,2.585816681E-1,6.881145954E0,7.673650742E0,1.031028369E1
5.302103840E-1,1.819648892E-1,6.893116951E0,7.697593689E0,1.033446279E1
5.322100770E-1,1.340793967E-1,6.919454098E0,7.704776287E0,1.035665969E1
5.342106920E-1,9.816526622E-2,6.909877300E0,7.707170486E0,1.035164323E1
5.362126920E-1,5.985686928E-2,6.960156918E0,7.704776287E0,1.038320494E1
5.382146920E-1,-1.915419847E-2,6.976916790E0,7.695199013E0,1.038719513E1
5.402166920E-1,-7.422251999E-2,6.979310989E0,7.683228016E0,1.038018707E1
5.422186920E-1,-1.460507661E-1,6.988888264E0,7.676044941E0,1.038207859E1
5.442171920E-1,-2.370332032E-1,6.988888264E0,7.635342598E0,1.035370467E1
5.462191920E-1,-2.921015322E-1,6.991282463E0,7.620976925E0,1.034614146E1
5.482211920E-1,-3.735068738E-1,7.000859737E0,7.553936958E0,1.030599379E1
5.502231920E-1,-4.836435020E-1,6.964945316E0,7.501263142E0,1.024760084E1
5.522251920E-1,-5.458946824E-1,6.931425571E0,7.470137596E0,1.020517600E1
5.542266150E-1,-8.020820618E-1,6.735095024E0,7.386337757E0,1.002810182E1
5.562286150E-1,-9.122186899E-1,6.617775440E0,7.328875065E0,9.916627674E0
5.582306150E-1,-9.385557175E-1,6.577073097E0,7.316903591E0,9.883109608E0
5.602326150E-1,-9.265843630E-1,6.545947552E0,7.350423813E0,9.886188252E0
5.622346150E-1,-8.882759809E-1,6.581861496E0,7.434223175E0,9.968831887E0
5.642321150E-1,-8.643332124E-1,6.646506786E0,7.477320194E0,1.004158561E1
5.662341150E-1,-8.786988258E-1,6.780586243E0,7.592245579E0,1.021717448E1
5.682361150E-1,-9.577099085E-1,6.950579643E0,7.683228016E0,1.040479497E1
5.702381150E-1,-1.012778282E0,7.039167881E0,7.707170486E0,1.048694814E1
5.722401150E-1,-1.127703428E0,7.175641537E0,7.731113434E0,1.060809415E1
5.742386920E-1,-1.228263021E0,7.271412373E0,7.716747761E0,1.067381206E1
5.762406920E-1,-1.249811411E0,7.314509392E0,7.714353561E0,1.070398650E1
5.782409230E-1,-1.221080184E0,7.307326794E0,7.673650742E0,1.066644165E1
5.802429230E-1,-1.173194647E0,7.254652500E0,7.594639778E0,1.056810872E1
5.822449230E-1,-1.110943556E0,7.209161282E0,7.534782887E0,1.048709469E1
5.842442690E-1,-9.672870040E-1,7.122967720E0,7.472531796E0,1.036875329E1
5.862462690E-1,-8.164477348E-1,6.993676662E0,7.405491829E0,1.021858157E1
5.882482690E-1,-7.206767201E-1,6.919454098E0,7.340846539E0,1.011366639E1
5.902502690E-1,-5.865973234E-1,6.797346115E0,7.221132755E0,9.934423431E0
5.922522690E-1,-5.363175869E-1,6.632141113E0,7.060716629E0,9.701889075E0
5.942542690E-1,-5.171633363E-1,6.574678421E0,6.962551117E0,9.590149754E0
5.962562690E-1,-5.602602959E-1,6.454965115E0,6.773403645E0,9.373337888E0
